ensembl_gene_id;gene_symbol_hint;platform;mean;sd
ENSG00000008394;MGST1;RNA_Seq;10,4937;3,1976
ENSG00000008405;CRY1;RNA_Seq;9,7945;1,0383
ENSG00000008438;PGLYRP1;RNA_Seq;0,1765;2,0524
ENSG00000008441;NFIX;RNA_Seq;10,5536;2,2088
ENSG00000008513;ST3GAL1;RNA_Seq;10,0708;2,3879
ENSG00000008516;MMP25;RNA_Seq;4,8654;1,7842
ENSG00000008517;IL32;RNA_Seq;9,6703;3,1147
ENSG00000008710;PKD1;RNA_Seq;11,7381;1,0569
ENSG00000008735;MAPK8IP2;RNA_Seq;7,2741;2,3867
ENSG00000008838;MED24;RNA_Seq;11,4757;0,6087
ENSG00000008853;RHOBTB2;RNA_Seq;9,5671;1,3605
ENSG00000008869;HEATR5B;RNA_Seq;10,7693;0,576
ENSG00000008952;SEC62;RNA_Seq;11,9364;0,6677
ENSG00000008988;RPS20;RNA_Seq;14,2585;0,8674
ENSG00000009307;CSDE1;RNA_Seq;14,0619;0,6256
ENSG00000009335;UBE3C;RNA_Seq;11,9811;0,6374
ENSG00000009413;REV3L;RNA_Seq;10,6462;0,8063
ENSG00000009694;TENM1;RNA_Seq;4,5635;3,8403
ENSG00000009709;PAX7;RNA_Seq;1,5983;4,1585
ENSG00000009724;MASP2;RNA_Seq;6,1912;1,2978
ENSG00000009765;IYD;RNA_Seq;5,9197;3,458
ENSG00000009780;FAM76A;RNA_Seq;8,6674;0,6182
ENSG00000009790;TRAF3IP3;RNA_Seq;4,8897;2,3098
ENSG00000009830;POMT2;RNA_Seq;10,0982;0,7964
ENSG00000009844;VTA1;RNA_Seq;10,8965;0,5516
ENSG00000009950;MLXIPL;RNA_Seq;7,3633;2,4629
ENSG00000009954;BAZ1B;RNA_Seq;12,1501;0,6542
ENSG00000010017;RANBP9;RNA_Seq;10,8443;0,6155
ENSG00000010030;ETV7;RNA_Seq;6,5987;2,4943
ENSG00000010072;SPRTN;RNA_Seq;9,1448;0,6211
ENSG00000010165;METTL13;RNA_Seq;10,634;0,5348
ENSG00000010219;DYRK4;RNA_Seq;8,578;1,3342
ENSG00000010244;ZNF207;RNA_Seq;12,9214;0,448
ENSG00000010256;UQCRC1;RNA_Seq;12,3389;0,5851
ENSG00000010270;STARD3NL;RNA_Seq;9,9986;1,1653
ENSG00000010278;CD9;RNA_Seq;12,969;1,713
ENSG00000010282;HHATL;RNA_Seq;0,3331;2,8544
ENSG00000010292;NCAPD2;RNA_Seq;12,2038;0,8631
ENSG00000010295;IFFO1;RNA_Seq;5,6424;2,9703
ENSG00000010310;GIPR;RNA_Seq;6,0292;2,4711
ENSG00000010318;PHF7;RNA_Seq;7,2658;0,9846
ENSG00000010319;SEMA3G;RNA_Seq;4,5342;2,4811
ENSG00000010322;NISCH;RNA_Seq;11,4628;0,6858
ENSG00000010327;STAB1;RNA_Seq;3,715;2,665
ENSG00000010361;FUZ;RNA_Seq;7,5529;2,1919
ENSG00000010379;SLC6A13;RNA_Seq;2,0001;2,7021
ENSG00000010404;IDS;RNA_Seq;11,933;1,0317
ENSG00000010438;PRSS3;RNA_Seq;6,1149;4,3572
ENSG00000010539;ZNF200;RNA_Seq;9,013;0,568
ENSG00000010610;CD4;RNA_Seq;4,5937;2,9541
ENSG00000010626;LRRC23;RNA_Seq;7,805;0,9918
ENSG00000010671;BTK;RNA_Seq;2,562;2,6893
ENSG00000010704;HFE;RNA_Seq;8,5359;1,3509
ENSG00000010803;SCMH1;RNA_Seq;10,3723;0,6631
ENSG00000010810;FYN;RNA_Seq;8,9114;2,4334
ENSG00000010818;HIVEP2;RNA_Seq;10,3446;1,4644
ENSG00000010932;FMO1;RNA_Seq;0,8751;3,1807
ENSG00000011007;TCEB3;RNA_Seq;11,0686;0,5653
ENSG00000011009;LYPLA2;RNA_Seq;11,1576;0,6829
ENSG00000011021;CLCN6;RNA_Seq;9,8154;0,7686
ENSG00000011028;MRC2;RNA_Seq;8,6648;3,3277
ENSG00000011052;NME1-NME2;RNA_Seq;8,8195;1,5383
ENSG00000011083;SLC6A7;RNA_Seq;2,7184;3,3206
ENSG00000011105;TSPAN9;RNA_Seq;10,2111;1,5588
ENSG00000011114;BTBD7;RNA_Seq;10,6905;0,6503
ENSG00000011132;APBA3;RNA_Seq;8,808;0,5938
ENSG00000011143;MKS1;RNA_Seq;9,1768;0,7488
ENSG00000011198;ABHD5;RNA_Seq;8,7062;0,8207
ENSG00000011201;ANOS1;RNA_Seq;5,8667;3,6716
ENSG00000011243;AKAP8L;RNA_Seq;11,0717;0,59
ENSG00000011258;MBTD1;RNA_Seq;10,3382;0,7154
ENSG00000011260;UTP18;RNA_Seq;10,605;0,5414
ENSG00000011275;RNF216;RNA_Seq;11,1212;0,6087
ENSG00000011295;TTC19;RNA_Seq;10,7683;0,6317
ENSG00000011304;PTBP1;RNA_Seq;13,2898;0,4278
ENSG00000011332;DPF1;RNA_Seq;4,7807;2,6546
ENSG00000011347;SYT7;RNA_Seq;9,4171;3,0108
ENSG00000011376;LARS2;RNA_Seq;9,783;0,6542
ENSG00000011405;PIK3C2A;RNA_Seq;11,2979;0,7049
ENSG00000011422;PLAUR;RNA_Seq;9,7441;1,9759
ENSG00000011426;ANLN;RNA_Seq;11,7479;1,0629
ENSG00000011451;WIZ;RNA_Seq;10,9588;0,6581
ENSG00000011454;RABGAP1;RNA_Seq;11,0259;0,7538
ENSG00000011465;DCN;RNA_Seq;5,4296;4,0848
ENSG00000011478;QPCTL;RNA_Seq;8,8693;0,7664
ENSG00000011485;PPP5C;RNA_Seq;11,1605;0,4838
ENSG00000011523;CEP68;RNA_Seq;9,7398;0,8708
ENSG00000011566;MAP4K3;RNA_Seq;10,7643;0,6039
ENSG00000011590;ZBTB32;RNA_Seq;2,7825;1,9411
ENSG00000011600;TYROBP;RNA_Seq;0,5849;3,0351
ENSG00000011638;TMEM159;RNA_Seq;9,7411;1,5766
ENSG00000011677;GABRA3;RNA_Seq;4,1542;4,1045
ENSG00000012048;BRCA1;RNA_Seq;9,9874;1,2682
ENSG00000012061;ERCC1;RNA_Seq;10,9003;0,6554
ENSG00000012124;CD22;RNA_Seq;3,3794;2,1551
ENSG00000012171;SEMA3B;RNA_Seq;9,5039;1,8857
ENSG00000012174;MBTPS2;RNA_Seq;9,9136;0,6916
ENSG00000012211;PRICKLE3;RNA_Seq;8,4051;0,9511
ENSG00000012223;LTF;RNA_Seq;4,08;3,9415
ENSG00000012232;EXTL3;RNA_Seq;10,673;1,0663
ENSG00000012504;NR1H4;RNA_Seq;0,9879;3,364
ENSG00000012660;ELOVL5;RNA_Seq;11,2873;1,3492
ENSG00000012779;ALOX5;RNA_Seq;5,8046;3,7224
ENSG00000012817;KDM5D;RNA_Seq;5,1208;4,2036
ENSG00000012822;CALCOCO1;RNA_Seq;11,0347;0,7842
ENSG00000012963;UBR7;RNA_Seq;10,7239;0,7203
ENSG00000012983;MAP4K5;RNA_Seq;11,054;0,7071
ENSG00000013016;EHD3;RNA_Seq;7,345;2,6456
ENSG00000013275;PSMC4;RNA_Seq;11,6442;0,5689
ENSG00000013288;MAN2B2;RNA_Seq;10,6283;0,8513
ENSG00000013293;SLC7A14;RNA_Seq;3,7795;1,6848
ENSG00000013297;CLDN11;RNA_Seq;5,846;1,618
ENSG00000013306;SLC25A39;RNA_Seq;12,2017;0,5883
ENSG00000013364;MVP;RNA_Seq;11,8755;1,841
ENSG00000013374;NUB1;RNA_Seq;11,1708;0,644
ENSG00000013375;PGM3;RNA_Seq;10,9821;0,687
ENSG00000013392;RWDD2A;RNA_Seq;8,0724;0,8301
ENSG00000013441;CLK1;RNA_Seq;11,9727;0,6045
ENSG00000013503;POLR3B;RNA_Seq;9,0978;0,6837
ENSG00000013523;ANGEL1;RNA_Seq;10,1585;0,7464
ENSG00000013561;RNF14;RNA_Seq;10,4813;0,5512
ENSG00000013563;DNASE1L1;RNA_Seq;10,0115;0,8256
ENSG00000013573;DDX11;RNA_Seq;11,5835;0,668
ENSG00000013583;HEBP1;RNA_Seq;9,579;1,169
ENSG00000013588;GPRC5A;RNA_Seq;11,2016;3,1797
ENSG00000013619;MAMLD1;RNA_Seq;6,7935;2,7984
ENSG00000013725;CD6;RNA_Seq;5,0191;2,6042
ENSG00000013810;TACC3;RNA_Seq;11,2029;0,8463
ENSG00000014123;UFL1;RNA_Seq;10,7214;0,6615
ENSG00000014138;POLA2;RNA_Seq;10,0963;0,6605
ENSG00000014164;ZC3H3;RNA_Seq;9,7493;0,6852
ENSG00000014216;CAPN1;RNA_Seq;12,8097;0,8551
ENSG00000014257;ACPP;RNA_Seq;5,9254;3,1429
ENSG00000014641;MDH1;RNA_Seq;12,1097;0,6369
ENSG00000014824;SLC30A9;RNA_Seq;11,2771;0,5649
ENSG00000014914;MTMR11;RNA_Seq;10,0037;1,9297
ENSG00000014919;COX15;RNA_Seq;10,2259;0,5749
ENSG00000015133;CCDC88C;RNA_Seq;10,4288;1,6973
ENSG00000015153;YAF2;RNA_Seq;8,8733;0,5584
ENSG00000015171;ZMYND11;RNA_Seq;11,4661;0,748
ENSG00000015285;WAS;RNA_Seq;3,6959;2,0027
ENSG00000015413;DPEP1;RNA_Seq;4,5877;4,9734
ENSG00000015475;BID;RNA_Seq;10,1061;0,9664
ENSG00000015479;MATR3;RNA_Seq;13,1197;0,5091
ENSG00000015520;NPC1L1;RNA_Seq;4,5434;2,972
ENSG00000015532;XYLT2;RNA_Seq;10,1706;0,7708
ENSG00000015568;RGPD5;RNA_Seq;8,9824;1,1687
ENSG00000015592;STMN4;RNA_Seq;0,7071;3,0143
ENSG00000015676;NUDCD3;RNA_Seq;11,7872;0,555
ENSG00000016082;ISL1;RNA_Seq;3,033;3,6355
ENSG00000016391;CHDH;RNA_Seq;9,2374;2,3457
ENSG00000016402;IL20RA;RNA_Seq;7,1288;3,6914
ENSG00000016490;CLCA1;RNA_Seq;2,6824;4,3892
ENSG00000016602;CLCA4;RNA_Seq;2,5152;3,7278
ENSG00000016864;GLT8D1;RNA_Seq;10,3517;0,6025
ENSG00000017260;ATP2C1;RNA_Seq;12,2408;0,723
ENSG00000017427;IGF1;RNA_Seq;1,5489;3,2967
ENSG00000017483;SLC38A5;RNA_Seq;7,4292;3,5023
ENSG00000017797;RALBP1;RNA_Seq;11,7245;0,6757
ENSG00000018189;RUFY3;RNA_Seq;10,1376;0,9252
ENSG00000018236;CNTN1;RNA_Seq;5,0984;4,4648
ENSG00000018280;SLC11A1;RNA_Seq;5,2012;1,5238
ENSG00000018408;WWTR1;RNA_Seq;10,1265;2,7034
ENSG00000018510;AGPS;RNA_Seq;11,0362;0,8711
ENSG00000018607;ZNF806;RNA_Seq;-0,7856;2,0902
ENSG00000018610;CXorf56;RNA_Seq;9,8753;0,5315
ENSG00000018625;ATP1A2;RNA_Seq;1,8037;2,9348
ENSG00000018699;TTC27;RNA_Seq;9,607;0,5816
ENSG00000018869;ZNF582;RNA_Seq;3,924;3,2155
ENSG00000019102;VSIG2;RNA_Seq;4,5353;4,3283
ENSG00000019144;PHLDB1;RNA_Seq;10,8159;1,5311
ENSG00000019169;MARCO;RNA_Seq;1,7475;3,3811
ENSG00000019186;CYP24A1;RNA_Seq;4,6969;4,2143
ENSG00000019485;PRDM11;RNA_Seq;8,8442;1,1508
ENSG00000019505;SYT13;RNA_Seq;6,8363;4,1939
ENSG00000019549;SNAI2;RNA_Seq;6,3251;4,2383
ENSG00000019582;CD74;RNA_Seq;10,509;3,502
ENSG00000019991;HGF;RNA_Seq;2,6228;3,9251
ENSG00000019995;ZRANB1;RNA_Seq;9,9946;0,7537
ENSG00000020129;NCDN;RNA_Seq;9,6865;0,9178
ENSG00000020181;ADGRA2;RNA_Seq;5,9521;2,987
ENSG00000020219;CCT8L1P;RNA_Seq;-0,2922;1,7471
ENSG00000020256;ZFP64;RNA_Seq;9,6932;0,6801
ENSG00000020426;MNAT1;RNA_Seq;9,2695;0,7279
ENSG00000020577;SAMD4A;RNA_Seq;9,1356;2,0383
ENSG00000020633;RUNX3;RNA_Seq;6,9054;3,6185
ENSG00000020922;MRE11A;RNA_Seq;10,6;0,6186
ENSG00000021300;PLEKHB1;RNA_Seq;8,1614;2,8102
ENSG00000021355;SERPINB1;RNA_Seq;11,087;2,0556
ENSG00000021461;CYP3A43;RNA_Seq;0,3035;2,019
ENSG00000021488;SLC7A9;RNA_Seq;3,668;2,3424
ENSG00000021574;SPAST;RNA_Seq;10,1798;0,6513
ENSG00000021645;NRXN3;RNA_Seq;5,0709;3,5341
ENSG00000021762;OSBPL5;RNA_Seq;9,3792;1,5552
ENSG00000021776;AQR;RNA_Seq;10,9789;0,589
ENSG00000021826;CPS1;RNA_Seq;6,9588;2,6937
ENSG00000021852;C8B;RNA_Seq;-1,0112;1,9429
ENSG00000022267;FHL1;RNA_Seq;6,8216;3,9279
ENSG00000022277;RTFDC1;RNA_Seq;11,6603;0,5581
ENSG00000022355;GABRA1;RNA_Seq;-0,5868;2,4583
ENSG00000022556;NLRP2;RNA_Seq;5,7514;4,3196
ENSG00000022567;SLC45A4;RNA_Seq;9,5833;1,3256
ENSG00000022840;RNF10;RNA_Seq;12,0115;0,4706
ENSG00000022976;ZNF839;RNA_Seq;9,0714;0,6528
ENSG00000023041;ZDHHC6;RNA_Seq;10,3489;0,5522
ENSG00000023171;GRAMD1B;RNA_Seq;6,7591;3,6054
